분류번호,명칭,수준,시간
0904010102_14v1,경량항공기 이륙 전 지상운용,2,3
0904010103_16v2,경량항공기 이륙,3,4
0904010104_16v2,경량항공기 공중조작,3,5
0904010105_16v2,경량항공기 기동조작,3,5
0904010106_16v2,경량항공기 항법,3,6
0904010107_16v2,경량항공기 착륙접근,3,3
0904010108_14v1,경량항공기 착륙,3,5
0904010109_14v1,경량항공기 착륙 후 지상운용,2,2
0904010110_16v2,경량항공기 항공안전보안 관리,3,2
0904010111_16v1,경량항공기 비상절차,3,6
0904010112_16v1,경량항공기 레저관광 비행,3,5
0904010201_14v1,자가용항공기 비행 전 준비,4,30
0904010202_14v1,자가용항공기 이륙 전 지상운용,3,20
0904010203_14v1,자가용항공기 이륙,4,20
0904010204_14v1,자가용항공기 공중조작,4,30
0904010205_14v1,자가용항공기 비상절차,4,20
0904010206_14v1,자가용항공기 항법,4,40
0904010207_14v1,자가용항공기 비행장 내 운용,3,20
0904010208_14v1,자가용항공기 착륙,4,30
0904010209_14v1,자가용항공기 착륙 후 지상운용,3,20
0904010210_14v1,자가용항공기 항공안전 보안관리,4,20
0904010301_14v1,사업용항공기 비행 전 준비,5,10
0904010302_14v1,사업용항공기 이륙 전 지상운용,5,15
0904010303_14v1,사업용항공기 이륙,6,50
0904010304_14v1,사업용항공기 공중조작,5,30
0904010305_14v1,사업용항공기 항법,5,30
0904010306_14v1,사업용항공기 착륙,6,50
0904010307_14v1,사업용항공기 착륙 후 지상운용,5,15
0904010309_16v2,사업용항공기 항공안전 보안관리,5,40
0904010310_16v2,사업용항공기 승무원자원관리,5,40
0904010311_16v2,화물운송 비행,5,3
0904010312_16v2,산불진화 비행,5,3
0904010313_16v2,항공방제 비행,5,3
0904010314_16v2,인명구조 구급 후송비행,5,3
0904010401_14v1,운송용항공기 비행 전 준비,7,80
0904010402_14v1,운송용항공기 이륙 전 지상운용,7,30
0904010403_14v1,운송용항공기 이륙,8,60
0904010404_14v1,운송용항공기 출항 상승,8,60
0904010405_14v1,운송용항공기 공중조작,8,30
0904010406_14v1,운송용항공기 항행,8,80
0904010407_14v1,운송용항공기 강하접근,8,60
0904010408_14v1,운송용항공기 착륙,8,80
0904010409_14v1,운송용항공기 착륙 후 지상운용,7,30
0904010410_14v1,운송용항공기 항공 안전보안 관리,7,90
0904010501_23v2,소형무인기 운용 준비,3,50
0904010502_16v1,소형무인기 비행 전 준비,3,50
0904010503_16v1,소형무인기 비행 전후 점검,3,50
0904010504_16v1,회전익 소형무인기 비행,3,100
0904010505_16v1,고정익 소형무인기 비행,3,50
0904010506_23v2,지상통제장비 운용,3,50
0904010507_16v1,소형무인기 비정상 상황 대처,4,50
0904010508_16v1,회전익 소형무인기 팀 운용,4,50
0904010509_16v1,고정익 소형무인기 팀 운용,4,50
0904010510_16v1,소형무인기 촬영 운용,4,50
0904010511_16v1,소형무인기 살포 운용,4,50
0904010512_23v2,소형무인기 감지측정 장비 운용,4,50
0904010513_16v1,소형무인기 이송 운용,4,50
0904010514_16v1,소형무인기 콘텐츠 운용,4,50
0904010515_16v1,소형무인기 공간정보 운용,5,50
0904010516_16v1,소형무인기 운용 관리,5,50
0904020101_19v2,비행정보제공,4,20
0904020102_19v2,항공정보제공,4,43
0904020103_19v2,비행장관제,5,180
0904020104_19v2,접근관제,5,105
0904020105_19v2,지역관제,5,105
0904020106_19v2,비정상상황관제,7,25
0904020107_19v2,경보대응,6,6
0904020108_19v2,항공교통안전관리,6,23
0904020109_19v2,공역관리,8,8
0904020110_19v2,항공교통흐름관리,7,10
0904020201_14v1,비행계획 수립,5,80
0904020202_19v2,비행계획서 작성,5,80
0904020203_14v1,운항허가 확인,4,40
0904020204_14v1,항공정보 활용,3,40
0904020205_14v1,운항 브리핑,5,40
0904020206_19v2,비행감시,5,80
0904020207_14v1,비정상 상황 관리,6,80
0904020208_14v1,항공기 운항 스케줄 관리,4,100
0904020209_19v2,운항 결정,5,80
0904020210_19v2,운항 통제 관리,5,120
0904020301_19v2,항공안전계획 수립,7,32
0904020302_19v2,항공안전 보고,4,32
0904020303_19v2,항공위험 관리,5,48
0904020304_19v2,비행안전 관리,6,32
0904020305_19v2,비상대응(ERP) 활동,5,32
0904020306_19v2,항공사건·사고 조사,6,96
0904020308_19v2,지상안전 관리,4,40
0904020312_19v2,항공인적요인 관리,5,48
0904020313_19v2,안전품질 평가,6,48
0904020314_19v2,항공 안전문화 증진,4,32
0904020401_14v1,항공보안기획,7,80
0904020402_14v1,공항보안검색,3,120
0904020403_14v1,항공화물보안검색,3,120
0904020404_14v1,항공기 보안,3,54
0904020405_14v1,보호구역 경비,3,54
0904020406_14v1,보호구역 출입통제,3,54
0904020407_19v2,항공보안장비관리,5,40
0904020408_14v1,항공보안현장 감독,4,40
0904020409_14v1,항공보안교육,6,80
0904020410_14v1,항공보안 위기관리,7,80
0904020411_19v2,항공보안 비상상황관리,6,80
0904020412_14v1,항공보안 수준관리,7,80
0904020501_16v1,항공여객서비스 개요 분석,3,50
0904020502_16v1,항공여객예약기록 작성,3,50
0904020503_16v1,항공여객예약 관리,4,50
0904020504_16v1,항공여객부대서비스 관리,3,45
0904020505_16v1,항공운임 산출,3,50
0904020506_16v1,항공운임보완규정 적용,4,50
0904020507_16v1,항공권 발행,3,50
0904020508_16v1,항공권 재발행,5,50
0904020509_16v1,탑승수속,3,45
0904020510_16v1,탑승수속 관리,4,30
0904020511_16v1,수하물사고 처리,4,30
0904020512_16v1,출발과 도착 업무,3,45
0904020513_16v1,수하물 탑재·하기 점검,3,30
0904020514_16v1,비정상운항 관리,5,45
0904020515_16v1,항공여객서비스 고객 응대,2,45
0904020601_16v1,화물의 흐름관리,3,30
0904020602_16v1,항공화물운임 결정,4,40
0904020603_16v1,항공화물 예약,4,40
0904020604_16v1,터미널 운영,4,40
0904020605_16v1,Ramp 조업,5,50
0904020606_16v1,장비운영,4,40
0904020607_16v1,단위탑재용기(ULD) 운영,3,30
0904020608_16v1,항공기 탑재관리,4,40
0904020609_16v1,CIQ 관리,4,40
0904020610_16v1,항공화물 클레임처리,5,50
0904020611_16v1,위험품 취급,5,50
0904020612_16v1,생동물 취급,5,50
0904020613_16v1,기타 특수화물 취급,4,40
0904030101_18v1,계기착륙시설 운영,4,90
0904030102_18v1,전방향표지시설 운영,3,90
0904030103_18v1,전술항행표지시설 운영,3,90
0904030104_18v1,거리측정시설 운영,3,90
0904030105_18v1,무지향표지시설 운영,3,50
0904030106_18v1,공항감시레이더시설 운영,5,90
0904030107_18v1,항로감시레이더시설 운영,4,90
0904030108_18v1,지상감시레이더시설 운영,4,90
0904030109_18v1,정밀진입감시레이더시설 운영,3,90
0904030110_18v1,자동종속감시방송시설 운영,5,16
0904030111_18v1,다변측정감시시설 운영,4,16
0904030112_18v1,지상기반정보보정시설 운영,5,16
0904030113_18v1,위성기반정보보정시설 운영,5,16
0904030114_18v1,항행안전시설 기술동향 분석,6,120
1001010103_20v2,영업 전략수립,5,30
1001010104_20v2,영업 고객발굴,3,20
1001010105_20v2,영업 제안,3,20
1001010106_20v2,영업 계약체결관리,3,20
1001010107_20v2,영업 계약이행관리,3,20
1001010108_20v2,영업 성과관리,5,30
1001010109_20v2,영업 고객불만관리,3,20
1001010110_20v2,영업 고객유지관리,3,20
1001010111_20v2,영업 환경분석,4,30
1001010201_20v2,해외시장 조사,4,20
1001010202_20v2,해외영업 상품 분석,4,20
1001010203_20v2,해외마케팅 전략수립,6,30
1001010204_20v2,해외 잠재고객 발굴,3,20
1001010205_20v2,해외거래 제안,3,20
1001010206_20v2,해외고객 협상,5,30
1001010207_14v1,국제계약체결,5,30
1001010208_20v2,해외영업 계약 이행 관리,2,30
1001010209_14v1,해외 클레임 처리,4,20
1001010210_20v2,해외고객 관리,5,20
1002010101_20v2,개발사업현황조사,4,30
1002010102_20v2,개발여건분석,4,30
1002010103_20v2,개발방향수립,7,40
1002010104_20v2,개발도입용도분석,5,30
1002010105_20v2,개발사업기본계획수립,7,40
1002010106_20v2,개발사업타당성분석,6,30
1002010107_20v2,개발사업실행계획수립,5,30
1002010108_20v2,개발사업건설관리,5,30
1002010109_20v2,개발마케팅전략수립,6,30
1002010110_20v2,개발사업시행관리,6,30
1002010201_14v1,분양사업기획,6,30
1002010202_14v1,분양시장분석,5,25
1002010203_20v2,분양상품기획,6,30
1002010204_20v2,분양마케팅,6,30
1002010205_20v2,분양인력구성,4,20
1002010206_20v2,분양전문인력교육,4,20
1002010207_14v1,분양고객관리,4,20
1002010208_14v1,분양리스크관리,5,25
1002010209_14v1,분양협력업체관리,3,25
1002010301_14v1,부동산 경·공매 신청,4,20
1002010302_16v2,부동산 경매 매각절차 파악,4,30
1002010303_16v2,부동산 공매 진행절차 파악,4,30
1002010305_16v2,매각 부동산 가치분석,4,30
1002010306_16v2,소유권 이전등기절차 진행,4,30
1002010307_16v2,매각 부동산 인도절차 진행,4,30
1002010310_16v2,부실채권 활용,5,30
1002010311_16v2,매각 부동산 권리분석,4,30
1002010312_16v2,매각 부동산 특수 권리분석,4,30
1002010313_16v2,배당 분석,4,30
1002010314_16v2,배당절차 진행,4,30
1002010315_16v2,권리구제 분석,4,30
1002010316_16v2,권리구제 소 제기,4,30
1002020103_16v2,주택 안전관리,3,50
1002020107_14v1,주택 리모델링 검토,5,40
1002020109_16v2,주택 관리비운영,5,50
1002020110_16v2,임대주택 관리,5,50
1002020111_16v2,주거용 건물 유지·관리,5,50
1002020112_16v2,주택하자관리,5,50
1002020113_16v2,장기수선관리,5,50
1002020114_16v2,주택 안전설비관리,3,50
1002020115_16v2,주택 배관·냉난방·급탕설비 관리,3,40
1002020116_16v2,주택 위생관리,3,40
1002020117_16v2,주택 환경관리,3,30
1002020118_16v2,입주자대표회의 운영,5,50
1002020119_16v1,입주자대표회의 구성,3,30
1002020120_16v2,주민 복리시설관리,3,50
1002020121_16v2,주택 부대시설관리,3,30
1002020122_16v2,관리사무소 운영,3,30
1002020123_16v1,입주민 서비스 운영,3,50
1002020124_16v1,임대주택 운영,5,50
1002020202_16v2,상업용건물관리 계획수립,6,50
1002020204_14v1,상업용건물 안전관리,5,30
1002020206_16v2,상업용건물 고객관리,5,50
1002020207_16v2,상업용건물 재무관리,5,50
1002020209_16v2,상업용건물관리 운영성과 보고,6,50
1002020210_16v2,상업용건물관리 시장분석,5,50
1002020211_16v2,상업용건물관리 계약체결,5,40
1002020212_16v2,상업용건물 유지관리,4,50
1002020213_16v2,상업용건물 환경관리,4,30
1002020214_16v2,상업용건물 임대계약,5,40
1002020215_16v2,상업용건물 임대차관리,5,40
1002020216_16v2,상업용건물 자원관리,5,50
1002020217_16v2,상업용건물 지능형 시스템관리,5,30
1002020304_14v1,부동산 자산 지출계획수립,5,24
1002020311_16v2,부동산자산 시장분석,5,50
1002020312_16v2,부동산자산 입지분석,5,50
1002020313_16v2,부동산자산 투자분석,6,50
1002020314_16v2,부동산자산 투자계획,6,40
1002020315_16v2,부동산자산 수입관리,5,40
1002020316_16v2,부동산자산 수입계획,5,40
1002020317_16v2,부동산 임대전략수립,5,50
1002020318_16v2,부동산자산 임대관리,5,40
1002020319_16v2,부동산자산 시설관리,4,50
1002020320_16v2,부동산자산 유지관리,4,50
1002020321_16v2,부동산자산 회계관리,5,40
1002020322_16v2,부동산자산 세무관리,5,30
1002020323_16v2,부동산처분 타당성 분석,5,40
1002020324_16v2,부동산자산 처분결정,5,40
1002020325_16v2,부동산자산 매각,6,30
1002020326_16v2,부동산자산 매각상담,6,40
1002020327_16v2,부동산자산 포트폴리오 결정,6,40
1002020328_16v2,부동산자산 포트폴리오 분석,6,40
1002020329_16v1,부동산금융,6,50
1002030101_14v1,부동산 시장 분석,5,30
1002030102_14v1,부동산 자료 수집·제공,3,20
1002030103_16v2,부동산 중개 의뢰 계약,3,24
1002030104_14v1,부동산 현황 분석,4,30
1002030105_14v1,부동산 권리분석,5,30
1002030106_16v2,부동산 중개대상물 광고,3,20
1002030107_14v1,부동산 고객 협상,4,30
1002030108_14v1,부동산 거래계약 체결,5,30
1002030109_16v2,부동산 중개 부수 업무 처리,5,30
1002030110_14v1,부동산 고객 관리,3,24
1002030111_14v1,부동산 중개사무소 관리,4,20
1002030112_16v1,상가ㆍ건물 권리금 거래 계약,5,30
1002030201_14v1,부동산정보제공서비스 사업기획,6,30
1002030202_14v1,부동산정보 사이트 광고상품 기획,5,30
1002030203_14v1,부동산정보제공 시스템 개발,4,30
1002030204_20v2,부동산정보 분석,5,40
1002030205_14v1,부동산정보 사이트 광고상품 마케팅,4,20
1002030206_14v1,부동산정보 사이트 운영,4,20
1002030207_20v2,부동산정보 콘텐츠 제공,3,20
1002030208_14v1,부동산 부가정보 서비스,3,20
1002030209_14v1,부동산정보 활용교육,4,20
1002030210_14v1,부동산 이용 상담서비스,5,30
1002040101_14v1,감정평가 사전분석,3,40
1002040102_14v1,감정평가계획 수립,3,40
1002040104_16v2,감정평가자료 분석,5,60
1002040106_14v1,감정평가방법 적용,6,60
1002040107_16v2,감정평가액 결정,6,60
1002040108_14v1,감정평가서 작성,7,80
1002040109_14v1,감정평가서 검수,8,80
1002040110_14v1,감정평가 사후관리,3,30
1002040111_16v2,토지 현장조사,4,80
1002040112_16v2,건축물·동산현장조사,4,80
1002040113_16v2,일반요인 분석,5,60
1002040114_16v2,지역요인·개별요인분석,5,60
1002040201_20v2,기업가치평가 처리계획 수립,6,20
1002040202_20v2,기업가치평가 기초자료 수집,4,30
1002040203_14v1,기업 현장조사,4,20
1002040204_20v2,기업가치평가 자료 분석,5,30
1002040205_20v2,기업가치평가 방법 결정,6,30
1002040206_20v2,기업가치평가 요소 추출,7,30
1002040207_14v1,기업가치평가,8,20
1002040208_20v2,기업가치평가 보고서 작성,7,20
1002040209_14v1,기업가치평가 사후관리,5,30
1002040301_20v2,감정평가가격정보제공 기획,7,30
1002040302_20v2,감정평가가격정보제공 절차와 법령 검토,5,40
1002040303_20v2,감정평가가격정보 유용성 검토,5,60
1002040304_20v2,감정평가 가치형성요인 분석,4,20
1002040305_14v1,감정평가가격정보 조사·분석,4,40
1002040306_20v2,감정평가가격정보 정리·가공,6,40
1002040307_20v2,감정평가가격정보 공간분석,6,20
1002040308_20v2,감정평가가격정보 모형설계,6,30
1002040309_20v2,감정평가가격정보제공 서비스 시스템 구축,7,30
1002040310_14v1,감정평가가격정보제공 서비스 수행,4,30
1002040311_20v2,감정평가가격정보제공 성과관리,8,30
1003010101_22v3,통신판매 환경분석,4,40
1003010102_22v3,통신판매 상품개발기획,5,40
1003010103_22v3,통신판매 전략수립,6,50
1003010104_22v3,통신판매 조직운영관리,5,30
1003010105_22v3,통신판매 성과관리,5,50
1003010106_22v3,통신판매 고객관계관리,4,40
1003010107_22v3,통신판매 운영관리,4,30
1003010108_22v3,인·아웃바운드 판매 채널 운영관리,3,30
1003010109_22v3,통신판매 시스템 운용,3,30
1003010110_22v2,통신판매 고객 상담,2,30
1003010202_16v2,사업기획,6,50
1003010203_16v2,사이트 기획,5,50
1003010204_16v2,사이트 구축,4,50
1003010205_16v2,사이트 운영,3,40
1003010207_16v2,판매관리,3,50
1003010208_13v1,고객관리,3,30
1003010209_13v1,사후관리,3,40
1003010210_16v2,시장환경 분석,5,50
1003010211_16v2,기술동향 분석,5,50
1003010212_16v2,마케팅 관리,5,50
1003010213_16v2,마케팅 성과측정과 활용,5,50
1003020101_14v1,판매 기본 정보 분석,2,20
1003020106_16v2,매장판매 마무리,3,40
1003020108_16v2,매장 판매촉진 관리,5,50
1003020111_16v2,매장 영업전 판매 지원 점검,3,45
1003020112_16v2,매장판매 상담,3,50
1003020113_16v1,전화고객 상담,3,50
1003020114_16v2,고객관계 관리,3,40
1003020115_16v2,고객요구 관리,3,50
1003020116_16v2,매장판매 교육,5,45
1003020117_16v2,매장영업 관리,5,50
1003020118_16v1,디스플레이 관리,5,40
1003020119_16v2,매장 경영 관리,5,50
1003020201_16v2,방문판매 기획,3,50
1003020202_14v1,방문판매서비스마인드 구축,2,50
1003020203_14v1,방문판매 훈련,3,50
1003020204_14v1,방문고객 발굴,3,25
1003020205_14v1,방문고객 접근,3,50
1003020206_14v1,방문고객 상담,3,50
1003020207_14v1,방문판매 종결,3,35
1003020209_14v1,방문판매 성과관리,5,25
1003020211_16v2,방문고객 사후관리,5,40
1003020212_16v1,방문고객 불만대응,5,30
1003020213_16v2,방문판매 조직구성,5,50
1003020214_16v1,방문판매 조직운영,5,50
1003030101_16v1,출하관리,4,20
1003030102_16v1,시장조사,3,20
1003030103_16v1,경매준비,5,30
1003030104_16v1,경매실시,6,40
1003030105_16v1,경매 사후관리,4,20
1003030106_16v1,거래참가자 관리,3,20
1003030107_16v1,신규 출하처 개발,5,20
1003030108_16v1,정가·수의매매 관리,6,40
1101010101_14v1,경비계획,4,45
1101010103_16v2,경비고객관계관리,3,45
1101010104_14v1,경계방비,2,15
1101010105_14v1,출입통제,2,15
1101010106_14v1,질서유지,2,15
1101010107_14v1,순찰활동,2,15
1101010108_14v1,사건사고대처,2,18
1101010110_14v1,보안관제,3,45
1101010111_14v1,테러리즘대응,3,45
1101010112_16v2,경비관련법규현장적용,5,45
1101010113_16v2,총기폭발물 대응,3,45
1101010114_16v2,범인공격대응,3,45
1101010115_16v2,정보보안실행,3,45
1101010116_16v2,국가법체계교육,5,45
1101010117_16v2,보안장비 운용관리,3,45
1101010118_16v2,호송장비 운용관리,3,45
1101010119_16v2,총기탄약 유지관리,3,45
1101010120_16v2,기계경비시스템 설치관리,3,45
1101010121_16v1,경보현장대응,3,45
1101010122_16v1,장비유지관리,3,45
1101010123_16v1,기계경비기획,5,45
1101010124_16v1,오경보관리,3,45
1101010125_16v1,사후조치,4,45
1101010126_16v1,보고문서관리,2,45
1101010201_20v2,경호기획,6,60
1101010203_20v2,경호교육훈련,5,50
1101010204_20v2,경호정보보안관리,4,60
1101010205_20v2,선발경호,3,40
1101010206_20v2,경호안전관리,3,40
1101010207_20v2,수행경호,3,40
1101010208_20v2,경호의전,3,40
1101010209_20v2,경호무도,3,60
1101010210_20v2,경호장비운영,3,30
1101010211_20v2,경호응급처치,3,40
1101010212_20v2,경호운용지원,4,40
1101010213_20v1,대테러활동,4,45
1102010101_15v1,청소현장 현황파악,3,30
1102010102_15v1,청소계획 수립,3,20
1102010103_15v1,청소활동 수행,2,30
1102010104_15v1,비상상황 대비 대응,3,30
1102010105_15v1,청소품질검증,3,20
1102010106_15v1,청소장비운용,2,30
1102010107_15v1,청소약품운용,3,30
1102010108_15v1,청소활동 사후관리,4,20
1102010201_15v1,가사관리 및 설계,4,20
1102010202_15v1,가사기본관리,3,20
1102010203_15v1,방 청소,2,20
1102010204_15v1,주방청소,2,20
1102010205_15v1,욕실 청소,2,20
1102010206_15v1,베란다 청소,2,20
1102010207_15v1,빨래 및 다림질,2,20
1102010208_15v1,특수 청소,3,20
1102010209_15v1,정리 수납,3,20
1102010210_16v1,공간정리수납 컨설팅,4,45
1102010211_16v1,유품정리,3,20
1201010101_21v5,미용업 안전위생 관리,2,20
1201010112_21v5,두피·모발 관리,3,45
1201010116_21v6,미용고객응대,2,30
1201010125_21v6,베이직 헤어컬러,2,45
1201010126_21v5,그레이 헤어컬러,3,45
1201010128_21v5,원랭스 헤어커트,2,45
1201010130_21v5,미용 고객상담,4,30
1201010131_21v5,그래쥬에이션 헤어커트,3,45
1201010132_21v6,레이어 헤어커트,3,45
1201010133_21v5,쇼트 헤어커트,3,45
1201010137_21v5,헤어컬러 디자인,4,45
1201010148_21v5,고전 머리 스타일,4,30
1201010149_21v5,가발 헤어스타일,4,30
1201010151_21v5,미용업 홍보관리,5,45
1201010153_21v5,미용업 재무관리,5,30
1201010156_21v6,헤어 샴푸,2,45
1201010157_21v5,블로우 드라이 스타일,2,50
1201010158_21v5,헤어 아이론 스타일,3,50
1201010159_21v6,콜드펌,2,60
1201010160_21v5,미용업소 제품사용관리,3,50
1201010161_21v6,히팅펌,3,60
1201010162_21v5,손상모 특수관리,4,50
1201010163_21v5,헤어커트 디자인,4,50
1201010164_21v5,헤어펌 디자인,4,60
1201010165_21v5,헤어스타일 디자인,4,50
1201010166_21v5,업스타일,4,50
1201010167_21v5,헤어커트 트렌드분석,5,60
1201010168_21v5,헤어펌 트렌드분석,5,60
1201010169_21v5,헤어컬러 트렌드분석,5,60
1201010170_21v5,미용업 고객관리,5,60
1201010171_21v5,미용업 교육관리,5,60
1201010201_17v3,피부미용 고객 상담,5,50
1201010202_19v3,피부미용 피부분석,3,50
1201010206_19v5,피부미용 고객마무리관리,2,30
1201010210_19v3,피부미용 위생관리,2,35
1201010211_19v3,피부미용 샵 경영관리,6,50
1201010212_19v5,피부미용 얼굴각질관리,2,50
1201010213_20v6,피부미용 얼굴 매뉴얼테크닉,3,50
1201010214_19v5,피부미용 얼굴 팩·마스크,2,50
1201010215_20v6,피부미용 몸매분석,3,30
1201010216_19v5,피부미용 몸매각질관리,3,20
1201010220_20v6,피부미용 몸매 팩·마스크,2,50
1201010222_17v4,피부미용 눈썹미용관리,3,30
1201010223_20v5,피부미용 아로마테라피,5,50
1201010225_20v5,피부미용 스톤테라피,5,50
1201010226_20v5,피부미용 뱀부(대나무)테라피,5,50
1201010227_20v5,피부미용 림프관리,3,50
1201010228_19v4,직류를 이용한 피부미용기기 활용,4,50
1201010229_19v5,교류를 이용한 피부미용기기 활용,4,50
1201010230_19v4,음파를 이용한 피부미용기기 활용,4,50
1201010231_19v4,피부미용 필수기구 활용,2,50
1201010232_19v4,피부미용 응용기구 활용,4,50
1201010235_19v3,피부미용 두피분석,5,50
1201010236_19v3,피부미용 두피 모공관리,5,50
1201010237_19v3,피부미용 두피 모낭관리,5,50
1201010238_19v3,피부미용 두피 모근관리,5,50
1201010239_17v4,피부미용 기초제모,2,30
1201010240_17v4,피부미용 응용제모,5,50
1201010241_20v6,신체 피부미용 전면관리,3,50
1201010242_20v6,신체 피부미용 후면관리,3,50
1201010243_17v4,피부미용 화장품사용,2,50
1201010301_19v5,메이크업 위생관리,1,15
1201010314_19v5,메이크업 일러스트레이션,2,45
1201010315_19v5,메이크업 기초화장품 사용,2,15
1201010316_19v5,베이스 메이크업,2,30
1201010319_19v5,속눈썹 연장,2,30
1201010320_19v5,뷰티 스타일링,2,30
1201010321_19v5,웨딩 이미지 제안,3,15
1201010326_19v5,미디어 캐릭터 메이크업,4,45
1201010327_19v5,무대공연 기본 메이크업,3,45
1201010328_19v5,무대공연 캐릭터 메이크업,4,45
1201010333_19v5,아트 메이크업,4,45
1201010334_19v5,바디페인팅,5,45
1201010335_19v5,에어브러시 메이크업,5,45
1201010336_19v5,스킨아트 문양 디자인,2,15
1201010337_19v5,스킨아트 메이크업,3,45
1201010338_19v5,메이크업 트렌드 개발,5,45
1201010339_19v5,메이크업 트렌드 홍보,5,45
1201010340_19v3,메이크업 고객 응대 서비스,3,20
1201010341_19v3,패션 이미지 메이크업,3,45
1201010342_19v3,시대별 메이크업,3,45
1201010343_19v5,메이크업 사업장 경영관리,6,45
1201010344_19v5,메이크업 고객 관리 서비스,3,30
1201010345_19v5,퍼스널 이미지 제안,4,45
1201010346_19v5,색조 메이크업,2,45
1201010347_19v5,웨딩 메이크업,3,45
1201010348_19v5,미디어 메이크업,3,45
1201010349_19v5,특수효과 메이크업 제작,5,45
1201010350_19v5,특수효과 메이크업 연출,6,45
1201010351_19v2,뷰티 색채,2,30
1201010352_19v2,수염 분장,3,30
1201010353_19v2,눈썹 특수 연출,5,30
1201010354_19v2,뷰티 크리에이트,3,30
1201010402_23v5,네일 화장물 제거,2,30
1201010405_23v5,랩 네일,4,50
1201010406_23v5,젤 네일,4,50
1201010407_23v5,아크릴 네일,4,50
1201010411_23v5,네일미용 위생서비스,1,40
1201010412_17v4,네일미용 고객서비스,2,45
1201010415_23v5,손발 기본 관리,2,50
1201010416_23v5,네일 컬러링,2,50
1201010423_17v2,디자인 스컬프처 네일,5,50
1201010424_23v4,네일 장식물 활용,2,45
1201010426_16v3,네일 폴리시 아트,3,50
1201010428_17v4,에어브러시 네일아트,5,50
1201010431_16v3,융합 네일 아트,5,50
1201010438_23v2,인조 네일 보수,3,50
1201010445_23v3,네일 드릴 활용,3,50
1201010446_16v1,네일 미용업 직무교육,5,45
1201010447_23v2,네일미용 교수법,6,45
1201010448_23v2,네일미용 교육훈련과정 운영,6,45
1201010449_23v3,손발 각질·보습관리,2,45
1201010450_23v3,헤나아트,2,40
1201010451_23v5,기초 팁 네일,2,30
1201010452_23v3,네일 디자인 일러스트레이션,3,45
1201010453_23v4,평면 네일아트,3,45
1201010454_23v5,응용 팁 네일,3,45
1201010455_23v4,입체 네일아트,4,60
1201010456_23v3,문제성 손관리,4,60
1201010457_23v3,문제성 발관리,5,60
1201010458_23v4,네일미용 경영관리,6,90
1201010459_23v1,트렌드 인조네일,3,45
1201010506_18v3,샴푸·트리트먼트,2,30
1201010518_18v3,단발형 이발,2,60
1201010519_18v3,짧은 단발형 이발,2,60
1201010520_18v3,혼합형 이발,3,45
1201010521_21v3,기본 면도,2,30
1201010522_21v3,수염디자인,3,30
1201010523_21v4,응용 면도,3,15
1201010524_16v2,기본 염·탈색,2,45
1201010525_16v2,응용 염·탈색,3,45
1201010526_16v2,기본 정발,2,45
1201010527_18v3,응용 정발,3,30
1201010528_18v3,아이론 정발,3,50
1201010529_18v3,세트롤 정발,2,30
1201010530_18v3,기본 아이론 펌,2,45
1201010531_16v2,응용 아이론 펌,3,45
1201010532_21v4,두개피 관리,2,45
1201010534_21v4,탈모관리,3,45
1201010535_18v3,모발관리,3,30
1201010538_18v3,맞춤가발,5,50
1201010539_16v2,모발증모,3,30
1201010540_16v2,헤어 브레이즈,5,45
1201010541_21v4,남성 손·발 관리,2,30
1201010542_21v4,셰이빙 스킨케어,3,50
1201010543_21v2,클래식 헤어디자인,4,50
1201010544_21v2,스트럭처 헤어디자인,4,50
1201010545_21v2,영 패션 헤어디자인,4,50
1201010546_21v2,프로그레시브 헤어디자인,4,50
1201010547_21v2,크리에이티브 헤어디자인,4,50
1201010549_18v2,이용 일러스트레이션,4,45
1201010550_21v2,헤어타투,3,45
1201010551_18v2,남성 화장술,3,45
1201010552_18v2,이용 코디네이션,4,45
1201010553_18v2,이용 교수법,5,50
1201010554_18v3,이용 고객서비스,3,15
1201010556_21v4,이용창업,5,50
1201010559_21v4,이용 경영 관리,6,45
1201010560_18v3,이용 위생 안전 관리,2,16
1201010561_18v3,기초 이발,2,46
1201010562_21v4,장발형 이발,3,46
1201010563_21v4,중발형 이발,3,46
1201010564_18v2,남성 기초 펌,2,46
1201010565_18v2,남성 응용 펌,3,46
1201010566_21v4,패션가발,3,30
1202010101_14v1,결혼상담 계획 수립,3,20
1202010102_14v1,결혼상담 고객 유치,3,20
1202010103_16v2,결혼고객 정보 분석,3,35
1202010104_16v2,결혼고객 가입 상담,3,35
1202010105_16v2,결혼상담 고객 등록,3,35
1202010106_14v1,결혼상담 고객 간 만남 진행,4,15
1202010107_14v1,결혼상담 고객 교제 관리,4,25
1202010108_14v1,결혼확정 고객 성혼 안내,3,10
1202010109_16v2,결혼상담 교육기획,4,35
1202010110_16v2,결혼상담 경영관리,5,35
1202010111_16v1,결혼상담 문서관리 및 교육평가하기,4,35
1202010201_16v2,웨딩고객 창출,3,24
1202010202_14v1,웨딩고객 상담,3,24
1202010203_16v2,웨딩정보 관리,3,16
1202010204_14v1,웨딩콘텐츠 개발,5,12
1202010205_16v2,웨딩상품 컨설팅,3,32
1202010206_14v1,웨딩일정 관리,3,24
1202010207_16v2,예식진행,3,32
1202010208_14v1,웨딩서비스 매너,4,16
1202010209_16v2,웨딩고객관리,4,16
1202010210_14v1,웨딩컨설팅 기업경영,6,12
1202010211_14v1,건강가정 확산,4,12
