job_title,skills
양식 조리사,"서양 요리, 양식 조리, 이탈리아 음식, 프랑스 요리"
양식원,"양식, 전복 양식"
어업 단순 종사원,"선박 운항, 선원, 수산물 가공, 어선 조종, 어업, 어획, 연안 통발"
에어컨세척 및 가전세척 기사,"가전제품 세척, 에어컨 세척"
연구 관리자,"사회과학 연구 관리, 연구 관리, 인문과학 연구 관리, 자연과학 연구 관리"
연삭기 및 연마(광택)기 조작원,"가공, 굴삭기 모터 가공, 조립"
연회장 셋팅 스태프,"대관 행사 셋팅, 뷔페 운영, 연회장 운영"
영양사,"사회복지급식소 위생 관리, 식품위생 관리, 어린이급식소 위생 관리, 영양 관리, 영양사"
영어강사,영어 강의
영어선생님,"영어 교육, 영어교육"
영업,"거래선 개발, 거래선 관리, 납품 관리, 무역, 법인 영업, 염색, 영업, 영업 관리, 영업 지원, 영업지원, 일반 영업, 제약 영업, 판매, 화공"
영업 기획·관리·지원 사무원,"수입, 수출, 영업 관리, 영업 기획, 영업 서무, 영업 지원, 지원, 판매 관리, 판매 지원"
영업·판매 관리자,"영업, 판매 관리"
영업·판매·무역,"구매, 물류, 반찬 제조, 법무, 사무, 세무, 영업, 원가 관리, 자재 관리, 재무, 중고차 매입, 중고차 판매, 즉석식품 판매, 총무, 판매, 회계"
영업기획·관리·지원사무원,"사무행정지원, 영업지원, 전산입력"
영업사무원,"무역, 영업, 판매"
영업사원,"고객 관리, 내방고객 상담, 무역, 영업, 제품 발주, 판매"
온라인 마케팅 MD,"MD(Merchandising), 스마트스토어 관리, 온라인 마케팅"
온라인 판매원,"마케팅, 상품 등록, 영업, 온라인 쇼핑몰 CS, 온라인 쇼핑몰 MD, 온라인 쇼핑몰 판매, 온라인 판매, 온라인 판매 관리, 인터넷 쇼핑몰 관리, 전자상거래 판매"
온라인MD,"상품 기획, 쇼핑몰 운영, 오픈마켓 운영"
요리사,"식음, 요리, 조리"
요양 보호사 및 간병인,"간병, 방문 목욕, 보호, 보호 서비스, 요양, 요양 보호, 입주 요양 보호, 재가 요양, 재가요양"
요양보호사,"노인 요양, 노인 케어, 송영, 시설 요양, 치매 전담 caregiving"
요양보호사(노인요양사),"급여제공기록 작성, 노인 요양, 노인요양, 센터 환경 정리, 송영서비스, 시설 요양보호, 시설 요양보호사(노인요양사), 어르신 케어, 요양보호, 요양보호사, 프로그램 진행"
용접원,"CO2 용접, 용접, 취부"
웨딩플래너,"고객 상담, 고객 응대, 웨딩 관련 업무"
웹 개발자,"Java, MSA (Microservices Architecture) 백엔드 개발, 웹 개발"
웹 디자이너,"웹 UI 디자인, 웹 디자인, 포토샵 디자인"
웹디자이너,"HTML, UI/UX 디자인, 그래픽 디자인, 디자인, 반응형, 웹 디자인"
위탁판매원,"식품 영업, 식품가공, 식품제조, 판매"
유치원 교사,유치원 교사
유치원·어린이집 급식 조리사,"양식 조리, 조리, 조리보조, 중식 조리, 한식 조리"
유튜브 영상 촬영/편집,"영상 촬영, 영상 편집"
육아 도우미(베이비시터),"베이비시터, 육아 도우미, 육아돌보미"
음료 제조기계 조작원,음료 제조기계 조작
음료 조리사(바리스타 포함),"바리스타, 음료 조리"
음식점 서빙원,홀 서빙
인바운드상담원,"고객지원, 인바운드 상담, 인바운드상담"
인사 사무원,"인사 관리, 인사 지원, 인사관리, 입사지원현황통계 작성"
인사·교육·훈련 사무원,"선박 안전 관리, 선원 인사"
인사관리,"ERP 관리, HR Index 관리, HR Master Data 관리, 감사 관리, 산업안전보건위원회 운영, 인사 규정 관리, 인사위원회 운영, 징계"
인사담당자,"HRD, HRM, 외국인 강사 관리, 인사 관리"
인쇄 후가공원,인쇄 건식 코팅기 조작
"인쇄·사진인화,복사·출력,조판·제판·제본","복사, 사진인화, 인쇄, 제본, 제판, 조판, 출력"
인쇄·사진인화·복사·출력 기계조작원,"기계 조작, 복사, 사진인화, 인쇄, 출력"
인쇄기계 조작원,인쇄기계 조작
인테리어 디자이너,"인테리어 기술, 인테리어 디자인, 인테리어 시공 기술, 인테리어 현장 관리"
일반 간호사,"병동 간호, 조산 관리"
일반 영업원,"거래선 개발, 거래선 관리, 고객관리, 영업"
일식 조리사,"일식 요리, 조리"
임상병리사,임상병리
자동차 경정비원,"자동차 경정비, 자동차 오일교환, 자동차 정비 보조, 카센터 경정비"
자동차 부품 조립·검사원,"가공, 세척, 에어컨 버튼 조립, 자동차 부품 검사, 자동차 부품 조립"
자동차 정비원,자동차 정비
자동차공학 기술자 및 연구원,"자동차 공학, 자동차 부품 개발, 자동차 부품 기술"
자동화 설비 설계 및 조립,"자동화 설비 설계, 조립"
자재·구매 사무원(일반 사업체),"ERP 경험, 구매 관리, 매입 관리, 생산 계획별 자재 반출, 생산 일정별 자재 정리, 엑셀 활용, 입출고 관리, 자재 관리, 자재 구매, 자재 발주 관리, 자재 출고 바코드 입력, 현장 생산 재고 관리"
자재·구매·물류 사무원,"구매 관리, 물류 관리, 자재 관리, 재고 관리"
자재관리 사무보조,"구매, 물류 관리, 법무 업무, 자재 관리, 총무 업무"
장례 지도사 및 장례 상담원,"상조 도우미, 염사, 장례 도우미, 장례 상담, 장례 지도, 장례(상조) 상담, 장의사 보조, 화장장 종사"
장애인 생활지도원,"장애인생활지도, 장애인활동지원"
장학관,입학사정
재가 간병인,재가 간병
재가 요양보호사,"4등급 여자어르신 케어, 간병, 노인 거주시설 안전 및 위생 관리, 노인 건강 돌봄, 노인 생활 지원, 노인 요양, 노인요양, 돌봄, 말벗 도우미, 방문 요양 보호, 방문목욕, 방문요양, 방문요양 보호, 방문재가 요양, 방화, 보호, 산책 도우미, 식사 챙기기, 신체활동 지원, 어르신 케어, 여가서비스, 요양 보조, 요양 보호, 요양보호, 일상생활 지원, 입주요양 caregiving, 재가 caregiving, 재가 cuidado, 재가 노인 요양, 재가 노인요양, 재가 보호, 재가 요양, 재가 요양 caregiving, 재가 요양 보호, 재가 요양보호, 재가요양, 정서지원, 치매 교육 지도, 치매 조치, 치매어르신 케어, 학력무관"
재가요양보호사,"노인요양, 방문요양, 요양보호, 재가 노인요양, 재가 요양, 재가 요양보호, 재가노인요양, 재가요양"
재무팀 경리,"결산, 경리, 급여관리, 기장, 법인결산, 세무, 재무회계, 출납, 회계, 회계감사"
재봉사(의류·직물),미싱 사
재활용품 및 폐기물 수거원,"재활용품 수거, 폐기물 분리, 폐기물 선별"
전기 부품·제품 생산기계 조작원,"전기 부품 생산기계 조작, 제품 생산기계 조작"
전기·전자 부품 생산보조원,"전기 부품 생산 보조, 전자 부품 생산 보조, 하네스 케이블 제작"
전기·전자 부품·제품 조립원,"전기 부품 조립, 전자 부품 조립, 제품 조립"
전기·전자 설비 조작원,"건물 전기시설물 유지관리, 변전실 운영, 수전설비 운영, 전기안전관리, 전력감시시스템 운영, 전력계통 보호계전시스템 운영"
전기·전자 제어장치 설치·정비원,"자동화설치, 자동화제어, 전기·전자 제어장치 설치·정비, 전기판넬 제작, 콘트롤판넬 작업"
전기·전자장비기술영업원,"견적서 작성, 고객관리, 공압제품 납품기술영업"
"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기)","PLC 판넬 제작, PLC 프로그래밍, 계장, 계장 설계, 공정자동화전기, 시운전, 자동제어 설계, 전기판넬 설계, 전기패널 설계"
"전기공사 기술자(전기견적, 공무포함)","공무, 전기견적, 전기대관 업무"
전기과장,전기 공학
전기기사,전기공무
"전기용접원(아크, 알곤, 티그용접원)","강화도어 설치, 알곤용접, 자동문 설치, 전기용접(Arc), 티그용접"
"전기용접원(아크,알곤,티그)","쇼트용접, 전기용접(아크), 전기용접(알곤), 티그용접"
"전기용접원(아크,알곤,티그용접원)","전기용접(아크),"
전산자료 입력원 및 사무 보조원,"문서 출력, 사무 보조, 서류 정리, 전산자료 입력, 파일링"
전자 부품·제품 생산기계 조작원,"PCB 생산 기계 조작, PCB 에칭, PCB 제조 장치 조작, PCB 함침, SMT설비 조작, 인쇄 회로 기판 제조, 전자 부품 생산기계 조작, 제품 생산기계 조작"
전자공학 기술자 및 연구원,"연구, 전자공학"
전자제품 제조기계 설치·정비원,"사출설비 유지보수, 전자제품 제조기계 설치, 전자제품 제조기계 유지보수, 전자제품 제조기계 정비"
점주,서비스(fontSize)
정육포장원,"떡갈비가공, 식육 포장, 양념육, 육가공, 포장육"
"제과·제빵사, 바리스타","베이글 성형, 생산 매장 관리, 후방관리"
제과제빵사,"매장 관리, 바리스타, 제과제빵"
제관 보조원(견습공),"제관, 취부"
제빵파트 직원,제빵
제조 단순 종사원,"PET 필름 재단 보조, UV 인쇄, 가공, 그라비아인쇄 생산, 바이오 소재 생산, 생산, 생산 계약, 생산(QC), 육가공, 인쇄 기계 조작, 인조대리석 제조, 제조, 제조 단순, 제조 생산, 제품 포장, 지게차 운전, 컨베이어 벨트 생산, 포장, 품질 관리, 플라스틱칩 생산, 화장품 원료 생산, 화장품 제조"
제조·생산 관리자,"공정 관리, 부품 생산 관리, 사무 지원, 생산 관리, 원자재 수급 관리, 전산등록 관리, 품질 관리"
제조단순종사원,"의료용구 제조, 치과재료 제조"
제품·광고 영업원,"거래처 관리, 광고 영업, 납품, 상용직 전환 검토, 영업, 입사지원현황 통계, 제품 영업"
조경 기술자,조경
조경 식재원,"식물 관리, 조경 관리"
조리사,조리
조선·해양공학 기술자 및 연구원,"선박설계, 조선설계, 해양구조설계"
종이제품 생산기계 조작원,"골판지 제조, 내포 수출 포장, 생산기계 조작"
주방,서비스
주방 보조원,주방 보조
주방 보조원(일반 음식점),"설거지, 식당 보조, 조리 보조, 주방 보조, 칼 솜씨"
주방 정직원,조리
주차·주유원,"광택, 세차"
중·대형 화물차 운전원(트레일러 포함),"대형 트럭 운전, 덤프트럭 운전, 십바리 운전 (11~15톤), 중·대형 화물차 운전, 트레일러 운전"
중식 조리사,"반점 조리, 중국음식 조리, 중식 조리"
지게차 운전원,"자동차부품 생산, 자재관리, 지게차 상하차, 지게차 운전, 창고 관리, 출하 업무"
직물재봉사,"미싱 작업, 봉제, 재봉, 홈패션 재봉"
직원,"구매, 물류, 서비스, 영업, 자재, 판매"
창고 관리원,"물류, 물품 검수, 입출고, 자재창고 관리, 지게차 운전"
창고 관리원(자재 검수원 포함),"PDA 전산입력, 강재 선별, 물류 입출고, 운반, 입출고, 자재 검수, 재고 관리, 제품 상하차, 제품 출하, 지게차 운전, 창고 관리, 창고 입출고, 하역"
채소·특용작물 재배원,"과채 재배, 양채류 재배, 작물 관리, 채소 재배, 특용작물 재배"
청소년 지도사,"문서작성, 보충학습 지도, 상담, 생활기록 및 관리, 자기개발활동 지도, 차량운행, 청소년 면담, 청소년 및 강사 관리, 청소년 지도, 토요체험활동 지도"
청소원,"미화, 여자샤워장 청소, 청소, 청소,"
초등 국어강사,국어 강의
총무,"보험 대리점 운영, 사무 보조, 총무 업무"
총무 및 일반 사무원,"관리 업무 지원, 문서 작성, 물품 구매, 비용 정산, 사무, 산학협력 기획, 엑셀 활용, 일반 사무, 제조업 경리, 총무, 총무 업무, 행정 업무 처리, 행정업무"
총무·법무·사무,"HRD, MS Office 작성, 노무, 명세서 작성, 법무, 사무, 인사, 총무, 특허분석, 편집"
총무물류관리자,회계업무
출납창구 사무원(은행·농협·수협·축협),"농협창구 업무, 수협창구 업무, 은행수납 업무, 은행창구 업무, 은행텔러 업무, 축협창구 업무"
충전설비기사,"전기설계, 전기안전"
카페·레스토랑매니저,"주방 업무, 홀 업무"
캐릭터 모델러,캐릭터 모델링
컴퓨터 설치·수리원(컴퓨터AS원),"PC 설치, PC 수리, 컴퓨터 AS, 컴퓨터 설치, 컴퓨터 수리, 컴퓨터 하드웨어 수리"
컴퓨터시스템 설계 및 분석가,"ERP 분석, ERP 설계, 회계프로그램 분석, 회계프로그램 설계"
케이블 물류 자재관리 사원,"물류 관리, 유통 관리, 자재 관리"
코디네이터,"4대 보험 관리, 경사로 관리, 구내식당 운영, 야간 교통비 지원, 유니폼 관리, 의료 지원"
콜센터 상담원,"CS 상담, 계약 관리, 고객 상담, 고객상담, 내부 소통, 사고 신고 접수, 상담, 인바운드 상담, 인바운드 텔레마케팅, 콜센터 업무, 텔레마케팅"
콜센터 상담원(콜센터·고객센터·CS센터),"디지털뱅킹 상담, 인바운드 상담, 콜센터 상담, 텔레마케팅"
택배·배송·운반·납품·배달 종사자,"경력 관리, 경화물차 운전, 납품, 물류 계획, 물류 관리, 물류 분야 지식, 물류 업무, 물류 운영, 물류 정보 시스템 사용, 상품 배송, 송장 작성, 운반, 운송 거래, 인적자원 관리, 차량 운전, 창고 운영, 창고 작업, 택배 배송, 트럭 운전"
테마파크 서비스원,놀이시설 안내
텔레마케터,"TM, 고객상담"
"토목시공 기술자(토목견적, 공무포함)","공무, 교량 건설, 도로 건설, 도로 포장 관리, 부지 조성, 토목 견적, 토목 대관, 토목견적"
"토목시공기술자(토목견적, 공무포함)","공무, 토목견적"
토목안전·환경·품질기술자,"토목 안전, 품질 관리, 품질관리, 환경 관리"
토목안전진단전문가,토목 안전 진단
통신·인터넷 케이블 설치·수리원,"무선통신 케이블 설치, 인터넷 케이블 설치, 케이블 수리"
통신기기·장비 개발자 및 연구원,"무선 중계장치 개발, 설계"
특수 크리닝장비 청소원,"기계 청소, 특수 크리닝, 특수 크리닝 장비 청소"
패션디자이너,패션디자인
퍼포먼스 마케팅 파트장,"IMC, 광고 관리, 광고 기획(AE), 광고 제작, 마케팅 기획, 매체 구매, 매체 기획, 브랜드 마케팅, 온라인 마케팅, 웹 프로모션, 제휴 마케팅"
편의식 제조 및 출하,"검품, 생산, 식품제조·가공, 전처리, 제과·제빵, 제품가공, 출하, 편의식 제조, 포장"
편의점 판매원,"고객 응대, 상품 관리, 판매"
편집디자이너,"일러스트레이터, 카다로그 디자인, 편집디자인"
폐유·재생유 처리 제어장치 조작원,"재생유 처리 제어장치 조작, 폐유 정제시설 가동, 폐유 처리 제어장치 조작, 환경플랜트 설비 조작"
프레스기 및 절단기 조작원,"NC프레스 가공, 고속프레스 조작, 수동프레스기 조작, 액압프레스 조작, 유압프레스 조작, 절단기 조작, 철판 샤링 절단기 조작, 파워프레스 조작, 프레스 절단 가공, 프레스기 조작"
프론트,서비스
플라스틱 사출성형기 조작원,"사출기 조작, 플라스틱 사출기 조작, 플라스틱 사출성형기 조작"
플라스틱제품 생산기계 조작원,"배합기 조작, 포장, 플라스틱 압출기 조작"
플라스틱제품 조립원 및 검사원,"사출 사상, 포장 검사"
피부관리사,"바움성형외과, 피부 관리"
하드웨어 개발자,하드웨어 개발
하수·폐수 처리장치 조작원,"산업폐수 처리 시설 운전, 오폐수 시설 운전, 폐수 처리장치 조작, 하수·폐수 처리장치 조작"
하역·적재 종사원,"상하차, 완제 작업, 적재, 하역, 화물차 적재"
학교 급식 조리사,"조리, 학교 급식 조리"
학교행정 사무원(교무),"교무, 학교 서무"
학예사 및 문화재 보존원,전시장 관리
학예사(큐레이터),"도슨트, 미술 전문 지식, 미술관 운영, 전시 기획, 학예사 실무"
학원 행정직원,"강사 관리, 문서 작성, 상담, 조교 관리, 학생 관리, 학원 관리, 회계"
한식 조리사,한식 조리
항공기·철도차량 공학 기술자 및 연구원,"기계 설계, 설계, 철도차량 공학, 항공기 공학"
항공화물 분류 및 검수사,"항공 화물 검수, 항공 화물 분류"
해외영업,"무역, 영업, 판매, 해외영업"
행정직원,"교육상담, 문서수발, 수강생 관리, 수납, 일반 사무, 학원 관리, 학원 행정 업무 수행, 회원 관리"
헤어디자이너,"고객 헤어 관리, 염색, 위그 디자인, 위그 피팅, 위그제품 스타일링, 커트, 코팅, 펌, 헤어 디자이네"
현장보조,"건축 시공, 시설 유지 보수, 현장 관리"
호텔·레스토랑 웨이터·웨이트리스,"식음료 서빙, 써빙, 홀 써빙"
"호텔·콘도·숙박시설 청소원(룸메이드, 하우스키퍼)","룸메이드, 청소, 하우스키퍼"
"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)","모텔 청소, 산후조리원 청소, 청소, 호텔 청소"
홀서빙,서비스
홀서빙원,"매장 지원, 서비스, 서비스 관리, 홀 서빙, 홀서빙"
홈페이지 시안 및 UIUX 디자이너,"UIUX 디자인, 홈페이지 시안 디자인"
화물차·특수차 운전원,"1톤 이상 화물차 운전, 고소작업차 조종, 스카이운전"
화장품 교육 담당자,"교육 실행, 교육 자료 준비, 교육 컨텐츠 개발, 교육 프로그램 개발, 교육 프로그램 개선, 교육 효과 분석, 그루밍 관리, 마케팅 활동 지원, 메이크업 쇼 기획,, 보고서 작성, 성과 평가, 오프라인 교육 세션 기획, 오프라인 교육 세션 진행, 온라인 교육 세션 기획, 온라인 교육 세션 진행, 프로모션 활동 지원, 피드백 분석, 피드백 수집, 필드 코칭"
화장품·비누제품 생산기계 조작원,"비누제품 생산 기계 조작, 화장품 생산 기계 조작, 화장품 제조"
화학·환경·에너지 분야 단순 종사원,"고무제품 생산 보조, 제품 생산, 포장, 플라스틱 생산 보조"
화학공학 기술자 및 연구원,"기술 연구, 의약품 품질 관리"
화학공학 시험원,"개발, 유기 고분자 분석, 합성실험"
화학제품 기술영업원,"산업용 테이프 영업, 화학제품 기술 영업"
환경 미화원,환경 미화
환경·청소 관리자,환경 업무
회계 사무원,회계
회계 사무원(일반 사업체),"더존 사용, 세무 관리, 총무 업무, 회계"
회계 사무원(회계·세무 사무소),"세무, 세무 처리, 회계, 회계 처리"
회계·세무·재무,"관리회계, 내부회계, 세무, 재무, 회계"
회계담당,"관리회계, 회계"
